,row_id,user_id,category_id,video_id,age,followers,views,gender_Female,gender_Male,profession_Other,profession_Student,profession_Working Professional,engagement_score
66,89264,10861,31,151,15,230,156,1,0,0,1,0,4
67,89265,4602,4,99,27,230,781,1,0,0,0,1,3
68,89266,17792,8,17,12,280,628,1,0,0,1,0,3
69,89267,12343,32,145,27,330,714,0,1,1,0,0,3
70,89268,6490,12,162,31,180,138,0,1,1,0,0,3
71,89269,1151,5,80,22,240,229,1,0,0,1,0,2
72,89270,21543,10,21,30,210,44,0,1,1,0,0,3
73,89271,15796,31,85,26,230,156,0,1,1,0,0,3
74,89272,3949,11,77,41,250,180,0,1,1,0,0,3
75,89273,27344,25,62,12,240,317,0,1,0,1,0,3
76,89274,1384,4,64,16,230,781,1,0,0,1,0,2
77,89275,5607,7,13,48,160,467,1,0,0,0,1,3
78,89276,23078,21,123,38,320,909,1,0,1,0,0,3
79,89277,15503,32,132,23,330,714,1,0,1,0,0,2
80,89278,26601,11,22,16,250,180,0,1,0,1,0,4
81,89279,23177,11,77,19,250,180,1,0,0,0,1,3
82,89280,4320,5,91,27,240,229,1,0,1,0,0,3
83,89281,22577,15,113,33,340,662,0,1,1,0,0,3
84,89282,27723,11,41,13,250,180,1,0,0,1,0,3
85,89283,22212,19,46,14,230,369,0,1,0,1,0,4
86,89284,19343,19,121,14,230,369,0,1,0,1,0,4
87,89285,5444,34,96,11,230,840,1,0,0,1,0,2
88,89286,27727,29,82,17,260,52,1,0,0,1,0,3
89,89287,9221,4,64,22,230,781,0,1,0,0,1,3
90,89288,1387,11,22,23,250,180,0,1,1,0,0,4
91,89289,8855,31,160,22,230,156,0,1,0,1,0,4
92,89290,25610,5,10,40,240,229,1,0,0,0,1,3
93,89291,5558,8,101,25,280,628,1,0,1,0,0,3
94,89292,3643,5,169,24,240,229,0,1,0,1,0,4
95,89293,26304,13,29,14,340,628,0,1,0,1,0,4
96,89294,24054,25,150,28,240,317,0,1,1,0,0,3
97,89295,13331,12,30,34,180,138,0,1,0,0,1,3
98,89296,16181,11,77,19,250,180,1,0,0,1,0,4
99,89297,21858,19,1,16,230,369,0,1,0,1,0,4
100,89298,19971,16,98,21,270,462,1,0,0,1,0,3
101,89299,19061,31,105,16,230,156,0,1,0,1,0,4
102,89300,14650,16,137,11,270,462,0,1,0,1,0,3
103,89301,18458,5,90,17,240,229,0,1,0,1,0,4
104,89302,1980,31,152,39,230,156,0,1,0,0,1,3
105,89303,1688,5,169,33,240,229,1,0,1,0,0,2
106,89304,6382,5,163,17,240,229,0,1,0,1,0,4
107,89305,19351,11,40,22,250,180,0,1,0,1,0,4
108,89306,20468,4,7,30,230,781,0,1,1,0,0,3
109,89307,5312,7,13,23,160,467,0,1,1,0,0,3
110,89308,13932,5,109,34,240,229,0,1,0,0,1,3
111,89309,14461,25,61,17,240,317,0,1,0,1,0,4
112,89310,12637,19,45,14,230,369,1,0,0,1,0,4
113,89311,26080,31,153,40,230,156,0,1,1,0,0,3
114,89312,11865,4,99,30,230,781,0,1,1,0,0,3
115,89313,26295,7,28,27,160,467,1,0,0,1,0,3
116,89314,557,25,138,16,240,317,0,1,0,1,0,4
117,89315,10171,19,144,38,230,369,0,1,0,0,1,3
118,89316,26592,25,139,37,240,317,1,0,1,0,0,3
119,89317,14342,34,94,33,230,840,1,0,1,0,0,2
120,89318,9110,4,99,17,230,781,1,0,0,1,0,2
121,89319,19590,34,114,15,230,840,1,0,0,1,0,2
122,89320,7375,19,1,17,230,369,1,0,0,1,0,2
123,89321,1667,4,6,36,230,781,0,1,1,0,0,4
124,89322,26856,11,22,24,250,180,0,1,0,0,1,3
125,89323,8984,5,87,21,240,229,0,1,0,1,0,4
126,89324,24360,11,66,13,250,180,1,0,0,1,0,2
127,89325,12712,4,8,28,230,781,0,1,1,0,0,3
128,89326,18621,19,46,15,230,369,0,1,0,1,0,4
129,89327,1505,8,39,22,280,628,0,1,0,1,0,4
130,89328,4530,11,22,30,250,180,1,0,1,0,0,3
131,89329,21810,19,46,30,230,369,0,1,1,0,0,3
132,89330,7856,19,1,48,230,369,1,0,0,0,1,3
133,89331,12468,8,16,24,280,628,0,1,0,1,0,4
134,89332,10726,4,6,28,230,781,0,1,1,0,0,3
135,89333,14319,25,150,17,240,317,0,1,0,1,0,4
136,89334,8260,9,18,29,230,819,1,0,1,0,0,3
137,89335,12730,31,151,19,230,156,0,1,0,1,0,4
138,89336,4376,19,44,31,230,369,1,0,1,0,0,3
139,89337,2934,31,85,34,230,156,0,1,1,0,0,3
140,89338,12737,4,7,13,230,781,0,1,0,1,0,4
141,89339,12270,34,96,25,230,840,1,0,0,1,0,2
142,89340,19886,8,67,13,280,628,1,0,0,1,0,3
143,89341,4480,8,39,16,280,628,1,0,0,1,0,3
144,89342,25865,8,74,28,280,628,0,1,1,0,0,3
145,89343,3233,25,140,30,240,317,1,0,1,0,0,3
146,89344,21715,12,42,18,180,138,0,1,0,0,1,3
147,89345,7568,11,77,35,250,180,0,1,1,0,0,3
148,89346,19283,5,158,30,240,229,0,1,1,0,0,3
149,89347,7005,31,151,17,230,156,0,1,0,1,0,4
150,89348,7297,11,41,28,250,180,1,0,1,0,0,3
151,89349,13182,11,41,25,250,180,0,1,1,0,0,3
152,89350,2328,8,39,26,280,628,0,1,0,1,0,4
153,89351,25742,12,24,17,180,138,1,0,0,1,0,3
154,89352,7373,8,74,21,280,628,0,1,1,0,0,3
155,89353,11036,31,153,21,230,156,0,1,0,1,0,4
156,89354,22658,32,132,39,330,714,1,0,1,0,0,3
157,89355,1670,25,138,18,240,317,0,1,0,1,0,4
158,89356,5364,31,160,14,230,156,0,1,0,1,0,4
159,89357,25048,13,27,15,340,628,0,1,0,1,0,4
160,89358,19722,7,13,31,160,467,1,0,0,0,1,3
161,89359,17190,8,110,22,280,628,0,1,0,0,1,3
162,89360,14885,12,42,17,180,138,1,0,0,1,0,4
163,89361,6809,13,26,14,340,628,0,1,0,1,0,4
164,89362,7418,21,129,16,320,909,0,1,0,1,0,3
165,89363,25432,29,81,12,260,52,0,1,0,1,0,2
166,89364,5385,19,144,17,230,369,0,1,0,1,0,4
167,89365,10150,32,133,20,330,714,1,0,0,1,0,2
168,89366,20204,21,122,35,320,909,0,1,1,0,0,3
169,89367,17795,19,1,16,230,369,1,0,0,1,0,2
170,89368,23713,13,26,15,340,628,0,1,0,1,0,4
171,89369,9008,8,67,35,280,628,0,1,0,0,1,3
172,89370,18521,19,144,36,230,369,0,1,1,0,0,3
173,89371,8091,19,46,22,230,369,0,1,0,1,0,4
174,89372,842,5,155,26,240,229,0,1,1,0,0,3
175,89373,25399,25,62,40,240,317,0,1,0,0,1,3
176,89374,18841,8,100,15,280,628,1,0,0,1,0,2
177,89375,2284,11,41,20,250,180,0,1,0,1,0,4
178,89376,4382,5,69,20,240,229,0,1,0,1,0,4
179,89377,23872,11,66,22,250,180,0,1,0,1,0,4
180,89378,14253,25,150,15,240,317,0,1,0,1,0,4
181,89379,8810,16,137,22,270,462,1,0,0,1,0,4
182,89380,19838,19,121,16,230,369,0,1,0,1,0,4
183,89381,11590,5,9,17,240,229,1,0,0,1,0,4
184,89382,22360,34,114,15,230,840,0,1,0,1,0,2
185,89383,15674,11,41,32,250,180,1,0,1,0,0,3
186,89384,16392,34,114,22,230,840,0,1,0,1,0,3
187,89385,17348,5,109,22,240,229,0,1,0,1,0,4
188,89386,5055,4,8,45,230,781,0,1,0,0,1,3
189,89387,20569,31,160,29,230,156,1,0,1,0,0,3
190,89388,11484,16,137,13,270,462,0,1,0,1,0,4
191,89389,14761,8,125,33,280,628,0,1,1,0,0,3
192,89390,24061,19,45,13,230,369,0,1,0,1,0,4
193,89391,23910,4,99,29,230,781,0,1,1,0,0,3
194,89392,8511,11,23,19,250,180,1,0,0,1,0,4
195,89393,869,11,40,25,250,180,1,0,0,0,1,3
196,89394,21280,8,67,20,280,628,1,0,0,1,0,3
197,89395,23992,11,22,13,250,180,1,0,0,1,0,2
198,89396,8079,32,133,33,330,714,0,1,1,0,0,3
199,89397,5467,12,42,35,180,138,0,1,1,0,0,3
200,89398,14889,19,1,39,230,369,0,1,1,0,0,3
201,89399,23404,16,98,26,270,462,0,1,0,0,1,3
202,89400,22357,8,101,32,280,628,1,0,1,0,0,2
203,89401,6053,4,7,34,230,781,0,1,1,0,0,3
204,89402,23855,8,39,33,280,628,1,0,1,0,0,3
205,89403,11177,16,35,19,270,462,0,1,0,1,0,4
206,89404,16810,34,114,28,230,840,0,1,1,0,0,3
207,89405,7957,19,1,19,230,369,1,0,0,1,0,4
208,89406,25216,5,87,12,240,229,1,0,0,1,0,2
209,89407,16594,1,1,20,360,990,0,1,0,1,0,4
210,89408,8600,16,98,29,270,462,0,1,0,0,1,3
211,89409,14297,4,8,17,230,781,0,1,0,1,0,4
212,89410,4864,31,85,32,230,156,0,1,0,0,1,3
213,89411,8989,8,74,31,280,628,0,1,1,0,0,3
214,89412,23846,12,42,42,180,138,0,1,1,0,0,3
215,89413,12882,1,2,21,360,990,0,1,0,1,0,4
216,89414,19804,5,155,30,240,229,0,1,1,0,0,3
217,89415,19167,42,134,34,290,689,1,0,1,0,0,2
218,89416,4085,5,168,23,240,229,1,0,1,0,0,3
219,89417,9280,8,39,27,280,628,0,1,1,0,0,3
220,89418,10464,25,62,21,240,317,1,0,0,1,0,2
221,89419,13097,25,139,12,240,317,0,1,0,1,0,4
222,89420,18546,34,115,32,230,840,1,0,1,0,0,2
223,89421,15074,19,1,15,230,369,1,0,0,1,0,2
224,89422,6641,8,125,20,280,628,1,0,0,1,0,3
225,89423,9989,11,66,21,250,180,1,0,0,1,0,4
226,89424,19418,11,40,23,250,180,1,0,0,1,0,3
227,89425,19313,11,41,15,250,180,1,0,0,1,0,4
228,89426,21167,25,61,14,240,317,0,1,0,1,0,2
229,89427,9253,12,88,36,180,138,1,0,1,0,0,3
230,89428,16827,31,160,16,230,156,0,1,0,1,0,4
231,89429,22845,25,61,20,240,317,0,1,0,1,0,3
232,89430,6230,8,17,19,280,628,0,1,0,0,1,3
233,89431,17654,34,114,27,230,840,0,1,1,0,0,3
234,89432,20815,9,19,29,230,819,0,1,0,0,1,3
235,89433,1561,8,67,17,280,628,0,1,0,1,0,4
236,89434,20736,5,91,15,240,229,0,1,0,1,0,4
237,89435,3670,8,39,45,280,628,1,0,0,0,1,3
238,89436,25889,25,138,39,240,317,1,0,0,0,1,3
239,89437,18939,34,115,30,230,840,1,0,1,0,0,2
240,89438,5735,16,98,28,270,462,1,0,1,0,0,3
241,89439,25970,4,6,31,230,781,1,0,1,0,0,2
242,89440,8769,4,64,17,230,781,0,1,0,1,0,4
243,89441,14474,8,67,43,280,628,1,0,0,0,1,3
244,89442,23293,29,82,18,260,52,0,1,0,1,0,3
245,89443,5811,11,40,34,250,180,1,0,1,0,0,3
246,89444,18617,11,40,23,250,180,1,0,0,1,0,3
247,89445,19568,5,158,12,240,229,0,1,0,1,0,4
248,89446,2626,8,74,31,280,628,0,1,1,0,0,3
249,89447,26944,19,45,46,230,369,1,0,1,0,0,2
250,89448,11650,15,33,21,340,662,1,0,0,1,0,3
251,89449,16293,25,150,14,240,317,1,0,0,1,0,2
252,89450,15151,25,150,16,240,317,1,0,0,1,0,2
253,89451,14958,5,70,19,240,229,0,1,0,1,0,4
254,89452,3240,16,34,18,270,462,0,1,0,1,0,4
255,89453,25340,21,143,30,320,909,1,0,1,0,0,2
256,89454,5069,4,6,39,230,781,1,0,1,0,0,2
257,89455,18437,16,35,15,270,462,1,0,0,1,0,3
258,89456,3656,19,44,24,230,369,1,0,0,1,0,2
259,89457,11647,5,9,32,240,229,0,1,1,0,0,3
260,89458,2963,8,67,21,280,628,0,1,0,1,0,4
261,89459,5025,34,95,15,230,840,1,0,0,1,0,2
262,89460,11926,31,153,25,230,156,0,1,0,0,1,3
263,89461,3602,16,34,31,270,462,0,1,1,0,0,3
264,89462,18389,34,95,15,230,840,0,1,0,1,0,4
265,89463,242,11,23,37,250,180,1,0,0,0,1,3
266,89464,25177,34,115,12,230,840,0,1,0,1,0,2
267,89465,12621,11,22,17,250,180,1,0,0,1,0,4
268,89466,9564,11,40,16,250,180,0,1,0,1,0,4
269,89467,18865,29,156,30,260,52,0,1,1,0,0,3
270,89468,24310,15,113,39,340,662,0,1,1,0,0,3
271,89469,10011,25,138,29,240,317,1,0,0,0,1,3
272,89470,24911,34,94,36,230,840,1,0,0,0,1,3
273,89471,11826,19,44,12,230,369,1,0,0,1,0,2
274,89472,27276,4,99,16,230,781,0,1,0,1,0,4
275,89473,18315,32,132,15,330,714,1,0,0,1,0,2
276,89474,11169,32,133,35,330,714,1,0,1,0,0,3
277,89475,18447,11,40,35,250,180,0,1,1,0,0,3
278,89476,2110,1,2,32,360,990,0,1,1,0,0,3
279,89477,5554,8,39,36,280,628,1,0,1,0,0,3
280,89478,20530,32,132,24,330,714,1,0,0,0,1,3
281,89479,10877,4,8,26,230,781,1,0,0,1,0,2
282,89480,1057,1,15,29,360,990,0,1,1,0,0,3
283,89481,10493,11,40,39,250,180,0,1,1,0,0,3
284,89482,12663,32,132,32,330,714,0,1,1,0,0,3
285,89483,19113,5,10,15,240,229,1,0,0,1,0,4
286,89484,8180,5,90,20,240,229,1,0,0,1,0,4
287,89485,6536,5,9,30,240,229,0,1,0,0,1,3
288,89486,10381,8,101,20,280,628,0,1,0,1,0,4
289,89487,14475,21,122,18,320,909,0,1,0,1,0,3
290,89488,15820,19,46,27,230,369,0,1,0,0,1,3
291,89489,11715,16,137,12,270,462,0,1,0,1,0,3
292,89490,17576,8,17,26,280,628,1,0,0,1,0,3
293,89491,16151,25,138,20,240,317,1,0,0,1,0,2
294,89492,12082,11,66,32,250,180,0,1,1,0,0,3
295,89493,5746,19,1,18,230,369,0,1,0,1,0,4
296,89494,3348,9,19,17,230,819,1,0,0,1,0,4
297,89495,6629,10,20,22,210,44,0,1,0,1,0,4
298,89496,8492,4,8,27,230,781,1,0,1,0,0,2
299,89497,2223,11,41,37,250,180,1,0,1,0,0,3
300,89498,13741,19,121,22,230,369,1,0,0,1,0,4
301,89499,10106,19,121,26,230,369,1,0,1,0,0,3
302,89500,11282,25,61,39,240,317,0,1,0,0,1,3
303,89501,23976,31,85,20,230,156,0,1,0,0,1,3
304,89502,25810,25,61,20,240,317,1,0,0,1,0,2
305,89503,26307,32,145,19,330,714,0,1,0,1,0,4
306,89504,12487,5,71,31,240,229,1,0,1,0,0,3
307,89505,10913,25,138,11,240,317,0,1,0,1,0,4
308,89506,253,19,121,34,230,369,1,0,1,0,0,3
309,89507,15746,5,109,31,240,229,0,1,1,0,0,3
310,89508,15038,19,45,15,230,369,1,0,0,1,0,2
311,89509,926,32,132,41,330,714,0,1,1,0,0,3
312,89510,6307,15,33,20,340,662,0,1,0,1,0,4
313,89511,26879,19,121,17,230,369,0,1,0,1,0,4
314,89512,957,19,44,11,230,369,0,1,0,1,0,4
315,89513,23043,19,1,19,230,369,0,1,0,1,0,3
316,89514,12796,13,26,32,340,628,0,1,1,0,0,3
317,89515,15752,21,143,33,320,909,0,1,1,0,0,3
318,89516,1238,18,59,20,180,444,1,0,0,0,1,2
319,89517,26727,31,153,19,230,156,0,1,0,1,0,4
320,89518,8149,16,137,16,270,462,1,0,0,1,0,3
321,89519,11078,8,16,20,280,628,1,0,0,1,0,4
322,89520,1047,19,46,15,230,369,0,1,0,1,0,4
323,89521,25435,8,101,13,280,628,0,1,0,1,0,3
324,89522,14031,31,86,42,230,156,1,0,1,0,0,3
325,89523,10553,8,101,12,280,628,0,1,0,1,0,3
326,89524,7889,11,22,33,250,180,0,1,1,0,0,3
327,89525,8581,7,28,17,160,467,0,1,0,1,0,4
328,89526,12726,12,42,25,180,138,0,1,0,1,0,4
329,89527,7072,19,144,41,230,369,1,0,0,0,1,3
330,89528,1555,8,67,28,280,628,0,1,1,0,0,3
331,89529,25668,8,146,25,280,628,1,0,0,1,0,2
332,89530,22975,31,85,15,230,156,1,0,0,1,0,2
333,89531,19632,34,95,20,230,840,0,1,0,1,0,3
334,89532,27288,8,39,17,280,628,0,1,0,1,0,3
335,89533,14234,4,8,31,230,781,1,0,1,0,0,2
336,89534,1647,31,153,31,230,156,0,1,0,0,1,3
337,89535,4067,19,144,26,230,369,0,1,1,0,0,3
338,89536,715,11,77,20,250,180,1,0,0,1,0,2
339,89537,8552,11,23,25,250,180,0,1,1,0,0,3
340,89538,18839,5,73,21,240,229,1,0,0,1,0,3
341,89539,13516,12,25,33,180,138,1,0,0,0,1,3
342,89540,4243,11,66,29,250,180,1,0,1,0,0,3
343,89541,8336,19,46,16,230,369,1,0,0,1,0,3
344,89542,21835,5,161,35,240,229,0,1,1,0,0,3
345,89543,6216,9,19,36,230,819,0,1,0,0,1,3
346,89544,17054,12,25,16,180,138,0,1,0,1,0,4
347,89545,8577,5,163,31,240,229,1,0,1,0,0,3
348,89546,6938,8,67,19,280,628,0,1,0,1,0,4
349,89547,4163,9,19,18,230,819,0,1,0,1,0,4
350,89548,23236,25,150,46,240,317,0,1,0,0,1,3
351,89549,5919,25,139,17,240,317,1,0,0,1,0,2
352,89550,15136,5,155,16,240,229,0,1,0,1,0,4
353,89551,16512,5,109,26,240,229,1,0,0,0,1,3
354,89552,16639,4,99,22,230,781,1,0,0,1,0,2
355,89553,14825,5,55,34,240,229,0,1,1,0,0,3
356,89554,16070,8,125,20,280,628,0,1,0,1,0,3
357,89555,10111,8,101,18,280,628,1,0,0,1,0,3
358,89556,8213,25,62,16,240,317,1,0,0,1,0,2
359,89557,21756,25,61,20,240,317,1,0,0,1,0,2
360,89558,6504,15,32,16,340,662,1,0,0,1,0,3
361,89559,8377,4,99,30,230,781,0,1,0,0,1,3
362,89560,15928,5,10,25,240,229,1,0,1,0,0,2
363,89561,8849,9,19,13,230,819,0,1,0,1,0,4
364,89562,7345,16,35,13,270,462,0,1,0,1,0,4
365,89563,19855,8,17,39,280,628,0,1,1,0,0,3
366,89564,11896,25,138,24,240,317,0,1,1,0,0,3
367,89565,22131,29,81,20,260,52,0,1,0,1,0,3
368,89566,7274,16,137,32,270,462,1,0,1,0,0,3
369,89567,24708,11,22,14,250,180,1,0,0,1,0,2
370,89568,16704,34,114,22,230,840,1,0,0,0,1,1
371,89569,8313,5,10,25,240,229,0,1,1,0,0,4
372,89570,225,25,61,31,240,317,0,1,0,0,1,3
373,89571,1092,16,35,16,270,462,0,1,0,1,0,4
374,89572,6313,11,22,23,250,180,1,0,0,1,0,4
375,89573,25967,11,66,29,250,180,1,0,1,0,0,3
376,89574,19702,8,100,30,280,628,0,1,1,0,0,3
377,89575,14038,8,100,21,280,628,1,0,0,0,1,3
378,89576,11293,19,45,22,230,369,0,1,0,1,0,4
379,89577,1509,19,144,34,230,369,1,0,1,0,0,3
380,89578,9801,4,99,25,230,781,0,1,0,1,0,4
381,89579,11128,4,6,12,230,781,0,1,0,1,0,4
382,89580,18250,12,162,20,180,138,0,1,0,1,0,4
383,89581,11954,5,68,17,240,229,0,1,0,1,0,4
384,89582,2508,31,153,41,230,156,0,1,0,0,1,3
385,89583,3235,21,104,26,320,909,0,1,1,0,0,3
386,89584,2123,34,96,32,230,840,1,0,0,0,1,1
387,89585,27318,8,17,17,280,628,1,0,0,1,0,3
388,89586,20605,16,137,31,270,462,1,0,1,0,0,3
389,89587,22541,25,150,16,240,317,0,1,0,1,0,4
390,89588,16948,11,22,30,250,180,0,1,1,0,0,3
391,89589,22631,19,1,18,230,369,0,1,0,1,0,3
392,89590,12183,42,136,21,290,689,0,1,0,1,0,4
393,89591,3657,32,132,42,330,714,1,0,0,0,1,3
394,89592,11891,12,25,19,180,138,0,1,0,0,1,3
395,89593,12579,21,143,32,320,909,0,1,0,0,1,3
396,89594,24946,19,121,41,230,369,0,1,0,0,1,3
397,89595,18730,8,17,22,280,628,0,1,0,1,0,4
398,89596,6555,8,74,39,280,628,0,1,1,0,0,3
399,89597,12624,8,101,18,280,628,0,1,0,1,0,4
400,89598,5318,12,30,39,180,138,0,1,1,0,0,3
401,89599,9765,32,133,30,330,714,1,0,1,0,0,2
402,89600,9654,8,67,26,280,628,1,0,0,0,1,3
403,89601,7124,31,152,15,230,156,0,1,0,1,0,4
404,89602,17887,19,1,16,230,369,0,1,0,1,0,4
405,89603,19745,4,8,29,230,781,0,1,1,0,0,3
406,89604,20535,25,138,16,240,317,1,0,0,1,0,2
407,89605,10052,4,6,36,230,781,1,0,0,0,1,2
408,89606,14154,34,94,31,230,840,0,1,1,0,0,3
409,89607,25854,11,66,28,250,180,1,0,0,0,1,3
410,89608,21126,5,10,21,240,229,0,1,0,1,0,4
411,89609,12239,16,35,22,270,462,0,1,0,1,0,4
412,89610,22532,5,87,19,240,229,1,0,0,0,1,3
413,89611,10216,19,46,14,230,369,1,0,0,1,0,2
414,89612,910,4,99,19,230,781,0,1,0,1,0,4
415,89613,6965,16,97,18,270,462,1,0,0,1,0,4
416,89614,15919,7,28,36,160,467,1,0,1,0,0,3
417,89615,15761,11,23,21,250,180,1,0,0,1,0,4
418,89616,9466,5,120,26,240,229,0,1,1,0,0,3
419,89617,27478,32,145,18,330,714,0,1,0,1,0,3
420,89618,19432,32,145,19,330,714,0,1,0,1,0,4
421,89619,26420,11,40,16,250,180,1,0,0,1,0,4
422,89620,11341,11,22,27,250,180,1,0,1,0,0,3
423,89621,13391,31,160,22,230,156,0,1,1,0,0,4
424,89622,1308,16,137,33,270,462,1,0,1,0,0,3
425,89623,22979,8,125,17,280,628,1,0,0,1,0,3
426,89624,21529,19,144,19,230,369,1,0,0,1,0,2
427,89625,17581,5,9,38,240,229,0,1,1,0,0,3
428,89626,18648,31,105,12,230,156,0,1,0,1,0,4
429,89627,4450,29,81,30,260,52,0,1,0,0,1,3
430,89628,18131,19,44,23,230,369,0,1,1,0,0,3
431,89629,22911,5,158,34,240,229,0,1,1,0,0,3
432,89630,14526,8,101,13,280,628,0,1,0,1,0,3
433,89631,6176,4,7,41,230,781,1,0,1,0,0,2
434,89632,12265,34,115,13,230,840,0,1,0,1,0,4
435,89633,9658,31,105,15,230,156,0,1,0,1,0,4
436,89634,5314,19,1,16,230,369,1,0,0,1,0,3
437,89635,21817,11,40,32,250,180,1,0,1,0,0,3
438,89636,15573,4,64,37,230,781,1,0,1,0,0,3
439,89637,11907,31,105,14,230,156,1,0,0,1,0,4
440,89638,3725,5,172,13,240,229,1,0,0,1,0,3
441,89639,22877,25,138,20,240,317,0,1,1,0,0,3
442,89640,12711,31,151,20,230,156,0,1,0,1,0,4
443,89641,3096,31,153,12,230,156,1,0,0,1,0,4
444,89642,2256,19,44,26,230,369,1,0,0,1,0,2
445,89643,7129,10,20,14,210,44,1,0,0,1,0,4
446,89644,27592,4,64,20,230,781,1,0,0,1,0,3
447,89645,27732,29,156,37,260,52,1,0,1,0,0,3
448,89646,10347,8,17,13,280,628,1,0,0,1,0,4
449,89647,12700,12,42,20,180,138,0,1,0,1,0,4
450,89648,24106,25,61,23,240,317,1,0,0,0,1,2
451,89649,17717,8,67,46,280,628,0,1,0,0,1,3
452,89650,24255,11,77,19,250,180,1,0,0,1,0,3
453,89651,13994,25,139,25,240,317,1,0,0,1,0,2
454,89652,23037,11,41,20,250,180,1,0,0,1,0,3
455,89653,22694,19,144,33,230,369,1,0,1,0,0,3
456,89654,7112,32,92,27,330,714,1,0,1,0,0,3
457,89655,26329,5,9,21,240,229,0,1,0,1,0,4
458,89656,27303,16,34,35,270,462,0,1,1,0,0,3
459,89657,17708,5,109,28,240,229,1,0,1,0,0,3
460,89658,2046,8,39,13,280,628,0,1,0,1,0,4
461,89659,22007,16,35,22,270,462,1,0,0,1,0,3
